initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
32.27,0.82,697.54,0.07,0.12,0.42,0.13,1293.32,2031
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
18.29,0.62,683.96,0.09,0.1,0.45,0.21,1365.46,2096
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
18.93,148.81,666.93,0.14,1.32,0.43,0.15,1261.44,23401
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
24.15,155.65,4657.16,0.34,0.76,5.41,0.94,1191.4,6194
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
18.79,129.59,694.38,0.15,0.75,0.73,0.2,1196,2262
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
27.08,129.89,4918.61,0.51,2.03,5.6,0.73,1201.9,6499
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
22.2,132.54,837.17,0.07,0.39,0.31,0.1,1206.77,2347
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
34.04,131.6,688.72,0.11,1.03,0.39,0.12,1228.72,2217
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
20.76,178.82,721.72,0.08,0.94,0.32,0.2,1414.63,2492
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
17.67,134.12,607.36,0.31,1.22,0.43,0.12,1343.74,2254
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
19.54,133.05,4250.48,0.13,1.07,0.42,0.19,1401.43,5959
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
17.63,133.4,702.91,0.14,0.85,0.47,0.2,1500.98,2514
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
19.51,140.54,673.81,0.08,2.04,0.38,0.11,1323.17,2307
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
29.86,150.9,4367.69,0.35,1.03,4.92,0.8,1208.03,5959
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
12.73,120.16,596.69,0.07,0.39,0.33,0.17,1364,2237
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
23.35,137.08,687.87,0.21,1.8,0.45,0.14,1347.65,2294
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
18.17,142.72,655.9,0.15,1.32,0.38,0.17,1293.05,2251
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
16.95,135.1,707.11,0.1,0.51,0.41,0.14,1327.33,2338
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
18.27,139.55,620.45,0.17,1.73,0.36,0.13,1271.52,2235
initPolygons, initPoints, initGL, passPolygons, passPoints, renderPolygons, renderPoints, getResult, totalTime(nIter)
31.82,135.72,741.52,0.15,1.67,0.44,0.17,1295.49,2389
